Word,Frequency,Frequency in %
the,181,0.0713441
and,169,0.0666141
her,89,0.0350808
to,77,0.0303508
she,57,0.0224675
it,31,0.0122192
for,29,0.0114308
he,27,0.0106425
but,26,0.0102483
of,25,0.00985416
said,25,0.00985416
then,25,0.00985416
they,25,0.00985416
at,24,0.00945999
came,24,0.00945999
that,24,0.00945999
when,23,0.00906583
you,23,0.00906583
was,22,0.00867166
had,21,0.00827749
into,21,0.00827749
in,20,0.00788333
a,19,0.00748916
all,19,0.00748916
pick,19,0.00748916
home,18,0.00709499
s,18,0.00709499
tree,18,0.00709499
with,18,0.00709499
on,17,0.00670083
ashputtel,16,0.00630666
no,16,0.00630666
not,16,0.00630666
go,15,0.0059125
his,15,0.0059125
again,14,0.00551833
as,14,0.00551833
away,14,0.00551833
little,14,0.00551833
went,14,0.00551833
mother,13,0.00512416
out,13,0.00512416
so,13,0.00512416
by,12,0.00473
down,12,0.00473
is,12,0.00473
king,12,0.00473
one,12,0.00473
shoe,12,0.00473
this,12,0.00473
ashes,11,0.00433583
back,11,0.00433583
bride,11,0.00433583
father,11,0.00433583
hazel,11,0.00433583
prince,11,0.00433583
two,11,0.00433583
brought,10,0.00394166
have,10,0.00394166
him,10,0.00394166
put,10,0.00394166
son,10,0.00394166
took,10,0.00394166
clothes,9,0.0035475
first,9,0.0035475
them,9,0.0035475
were,9,0.0035475
,8,0.00315333
doves,8,0.00315333
hither,8,0.00315333
me,8,0.00315333
off,8,0.00315333
before,7,0.00275916
dance,7,0.00275916
feast,7,0.00275916
house,7,0.00275916
now,7,0.00275916
sisters,7,0.00275916
slipper,7,0.00275916
there,7,0.00275916
too,7,0.00275916
who,7,0.00275916
will,7,0.00275916
ball,6,0.002365
beautiful,6,0.002365
bird,6,0.002365
cried,6,0.002365
fine,6,0.002365
haste,6,0.002365
i,6,0.002365
left,6,0.002365
made,6,0.002365
shake,6,0.002365
should,6,0.002365
thought,6,0.002365
thy,6,0.002365
time,6,0.002365
what,6,0.002365
asked,5,0.00197083
cannot,5,0.00197083
come,5,0.00197083
could,5,0.00197083
danced,5,0.00197083
day,5,0.00197083
flew,5,0.00197083
from,5,0.00197083
garden,5,0.00197083
gold,5,0.00197083
golden,5,0.00197083
gone,5,0.00197083
horse,5,0.00197083
kitchen,5,0.00197083
lady,5,0.00197083
look,5,0.00197083
over,5,0.00197083
side,5,0.00197083
wanted,5,0.00197083
white,5,0.00197083
wife,5,0.00197083
among,4,0.00157667
daughters,4,0.00157667
dirty,4,0.00157667
dishes,4,0.00157667
done,4,0.00157667
dove,4,0.00157667
face,4,0.00157667
frock,4,0.00157667
herself,4,0.00157667
hour,4,0.00157667
looked,4,0.00157667
maiden,4,0.00157667
much,4,0.00157667
next,4,0.00157667
peas,4,0.00157667
rode,4,0.00157667
set,4,0.00157667
shall,4,0.00157667
silver,4,0.00157667
slipped,4,0.00157667
through,4,0.00157667
till,4,0.00157667
true,4,0.00157667
turned,4,0.00157667
turtle,4,0.00157667
up,4,0.00157667
upon,4,0.00157667
where,4,0.00157667
work,4,0.00157667
would,4,0.00157667
ye,4,0.00157667
an,3,0.0011825
anyone,3,0.0011825
be,3,0.0011825
blood,3,0.0011825
cut,3,0.0011825
did,3,0.0011825
door,3,0.0011825
dress,3,0.0011825
else,3,0.0011825
followed,3,0.0011825
foot,3,0.0011825
gave,3,0.0011825
good,3,0.0011825
got,3,0.0011825
grey,3,0.0011825
hand,3,0.0011825
hard,3,0.0011825
help,3,0.0011825
himself,3,0.0011825
if,3,0.0011825
last,3,0.0011825
my,3,0.0011825
never,3,0.0011825
night,3,0.0011825
once,3,0.0011825
other,3,0.0011825
our,3,0.0011825
pigeon,3,0.0011825
right,3,0.0011825
sat,3,0.0011825
sits,3,0.0011825
small,3,0.0011825
soon,3,0.0011825
still,3,0.0011825
take,3,0.0011825
their,3,0.0011825
thus,3,0.0011825
told,3,0.0011825
under,3,0.0011825
want,3,0.0011825
which,3,0.0011825
your,3,0.0011825
about,2,0.000788333
after,2,0.000788333
against,2,0.000788333
always,2,0.000788333
are,2,0.000788333
beauty,2,0.000788333
been,2,0.000788333
began,2,0.000788333
begged,2,0.000788333
birds,2,0.000788333
blackbird,2,0.000788333
both,2,0.000788333
bring,2,0.000788333
called,2,0.000788333
can,2,0.000788333
care,2,0.000788333
chaffinch,2,0.000788333
child,2,0.000788333
chirping,2,0.000788333
dancing,2,0.000788333
daughter,2,0.000788333
diamonds,2,0.000788333
dish,2,0.000788333
fair,2,0.000788333
finer,2,0.000788333
fly,2,0.000788333
flying,2,0.000788333
found,2,0.000788333
friend,2,0.000788333
gay,2,0.000788333
get,2,0.000788333
girl,2,0.000788333
going,2,0.000788333
grain,2,0.000788333
grave,2,0.000788333
great,2,0.000788333
happened,2,0.000788333
hat,2,0.000788333
heads,2,0.000788333
heaven,2,0.000788333
held,2,0.000788333
here,2,0.000788333
homewards,2,0.000788333
however,2,0.000788333
its,2,0.000788333
jumped,2,0.000788333
knew,2,0.000788333
large,2,0.000788333
laughed,2,0.000788333
let,2,0.000788333
lie,2,0.000788333
linnets,2,0.000788333
might,2,0.000788333
must,2,0.000788333
nobody,2,0.000788333
nothing,2,0.000788333
only,2,0.000788333
others,2,0.000788333
overjoyed,2,0.000788333
own,2,0.000788333
pear,2,0.000788333
pearls,2,0.000788333
picked,2,0.000788333
planted,2,0.000788333
princess,2,0.000788333
quick,2,0.000788333
quite,2,0.000788333
ran,2,0.000788333
rid,2,0.000788333
room,2,0.000788333
sang,2,0.000788333
saw,2,0.000788333
see,2,0.000788333
sky,2,0.000788333
slippers,2,0.000788333
squeezed,2,0.000788333
stood,2,0.000788333
streamed,2,0.000788333
than,2,0.000788333
think,2,0.000788333
those,2,0.000788333
three,2,0.000788333
thrush,2,0.000788333
toe,2,0.000788333
try,2,0.000788333
twig,2,0.000788333
unknown,2,0.000788333
us,2,0.000788333
very,2,0.000788333
waited,2,0.000788333
way,2,0.000788333
wear,2,0.000788333
window,2,0.000788333
almost,1,0.000394166
also,1,0.000394166
altogether,1,0.000394166
am,1,0.000394166
amid,1,0.000394166
anger,1,0.000394166
another,1,0.000394166
ash,1,0.000394166
ask,1,0.000394166
axe,1,0.000394166
became,1,0.000394166
bed,1,0.000394166
begging,1,0.000394166
behind,1,0.000394166
being,1,0.000394166
beneath,1,0.000394166
beside,1,0.000394166
besides,1,0.000394166
bought,1,0.000394166
branch,1,0.000394166
bread,1,0.000394166
broke,1,0.000394166
broken,1,0.000394166
brush,1,0.000394166
brushed,1,0.000394166
brushes,1,0.000394166
built,1,0.000394166
burning,1,0.000394166
carried,1,0.000394166
carry,1,0.000394166
chimney,1,0.000394166
choose,1,0.000394166
cinderella,1,0.000394166
clumsy,1,0.000394166
comb,1,0.000394166
cook,1,0.000394166
copse,1,0.000394166
course,1,0.000394166
covering,1,0.000394166
crying,1,0.000394166
curtsied,1,0.000394166
dare,1,0.000394166
daylight,1,0.000394166
days,1,0.000394166
dear,1,0.000394166
dim,1,0.000394166
dirt,1,0.000394166
dishful,1,0.000394166
do,1,0.000394166
does,1,0.000394166
doubt,1,0.000394166
drew,1,0.000394166
dropped,1,0.000394166
dusty,1,0.000394166
early,1,0.000394166
earn,1,0.000394166
eat,1,0.000394166
eldest,1,0.000394166
end,1,0.000394166
even,1,0.000394166
evening,1,0.000394166
every,1,0.000394166
everyone,1,0.000394166
false,1,0.000394166
feet,1,0.000394166
fell,1,0.000394166
find,1,0.000394166
fire,1,0.000394166
fits,1,0.000394166
fitted,1,0.000394166
fluttering,1,0.000394166
forced,1,0.000394166
former,1,0.000394166
foul,1,0.000394166
frightened,1,0.000394166
fruit,1,0.000394166
full,1,0.000394166
granted,1,0.000394166
green,1,0.000394166
grew,1,0.000394166
hair,1,0.000394166
half,1,0.000394166
hands,1,0.000394166
has,1,0.000394166
heap,1,0.000394166
hear,1,0.000394166
heart,1,0.000394166
hearth,1,0.000394166
heel,1,0.000394166
hid,1,0.000394166
hide,1,0.000394166
hopping,1,0.000394166
hours,1,0.000394166
hurry,1,0.000394166
kept,1,0.000394166
kind,1,0.000394166
knife,1,0.000394166
know,1,0.000394166
knowing,1,0.000394166
lain,1,0.000394166
lamp,1,0.000394166
land,1,0.000394166
late,1,0.000394166
lay,1,0.000394166
least,1,0.000394166
liked,1,0.000394166
lived,1,0.000394166
long,1,0.000394166
lose,1,0.000394166
lost,1,0.000394166
lying,1,0.000394166
maid,1,0.000394166
make,1,0.000394166
married,1,0.000394166
melted,1,0.000394166
mind,1,0.000394166
near,1,0.000394166
nest,1,0.000394166
new,1,0.000394166
old,1,0.000394166
open,1,0.000394166
pale,1,0.000394166
parlour,1,0.000394166
partner,1,0.000394166
pass,1,0.000394166
perched,1,0.000394166
plagued,1,0.000394166
played,1,0.000394166
poor,1,0.000394166
pushed,1,0.000394166
queen,1,0.000394166
quickly,1,0.000394166
reached,1,0.000394166
red,1,0.000394166
rejoicing,1,0.000394166
rich,1,0.000394166
ripe,1,0.000394166
rise,1,0.000394166
round,1,0.000394166
run,1,0.000394166
safe,1,0.000394166
sashes,1,0.000394166
say,1,0.000394166
second,1,0.000394166
seen,1,0.000394166
send,1,0.000394166
shame,1,0.000394166
shoes,1,0.000394166
shook,1,0.000394166
shoulder,1,0.000394166
show,1,0.000394166
shut,1,0.000394166
sight,1,0.000394166
silk,1,0.000394166
silly,1,0.000394166
singing,1,0.000394166
sir,1,0.000394166
sister,1,0.000394166
slut,1,0.000394166
snow,1,0.000394166
some,1,0.000394166
song,1,0.000394166
sorrowfully,1,0.000394166
sorry,1,0.000394166
sorts,1,0.000394166
spangled,1,0.000394166
sprang,1,0.000394166
spread,1,0.000394166
spring,1,0.000394166
sprung,1,0.000394166
stairs,1,0.000394166
stockings,1,0.000394166
stooped,1,0.000394166
strange,1,0.000394166
such,1,0.000394166
sun,1,0.000394166
sure,1,0.000394166
taken,1,0.000394166
taking,1,0.000394166
talked,1,0.000394166
tears,1,0.000394166
third,1,0.000394166
though,1,0.000394166
threw,1,0.000394166
throw,1,0.000394166
tie,1,0.000394166
times,1,0.000394166
tired,1,0.000394166
toes,1,0.000394166
towards,1,0.000394166
trick,1,0.000394166
turn,1,0.000394166
unawares,1,0.000394166
use,1,0.000394166
waiting,1,0.000394166
walk,1,0.000394166
wash,1,0.000394166
washed,1,0.000394166
watched,1,0.000394166
water,1,0.000394166
watered,1,0.000394166
ways,1,0.000394166
we,1,0.000394166
whatever,1,0.000394166
windows,1,0.000394166
wished,1,0.000394166
within,1,0.000394166
without,1,0.000394166
wonder,1,0.000394166
wondered,1,0.000394166
worn,1,0.000394166
